address1,Address2,Address3,Postcode,LAT,LONG,"Mixed Recycling (paper, cardboard, plastics, metal, glass, food and drink cartons)",Textiles,"Books, CDs and DVDs"
Airyhall Library, Countesswells Road,, AB15 7RF,57.1323283,-2.1514823,Yes,,Yes
Asda Garthdee, Garthdee Road,, AB10 7QA,57.123376,-2.126448,Yes,Yes,Yes
Asda Bridge of Don, Jesmond Drive, Bridge of Don, AB22 8WG,57.1909946,-2.1247242,Yes,Yes,
Asda Dyce, Riverview Drive, Dyce, AB21 7NG,57.2044387,-2.1769413,Yes,Yes,
Balnagask Circle, Grampian Court,, AB11 8TY,57.1341856,-2.073012,Yes,Yes,
Aberdeen Exhibition and Conference Centre, Exhibition Road, Bridge of  Don, AB23 8BL,57.1858623,-2.090232,Yes,Yes,
Byron Square Shops, Northfield,, AB16 7LL,57.165412,-2.16493,Yes,,
Cornhill Shopping Centre,,, AB16 5UT,57.1592941,-2.144364,Yes,Yes,
Crombie and Johnston Halls, College Bounds, Old Aberdeen, AB24 3TS,57.1640977,-2.1057477,Yes,Yes,
Footdee, New Pier Road, Beach Esplanade, AB11 5DX,57.1441874,-2.0769866,Yes,Yes,
The Green,,, AB11 6PE,57.1459141,-2.1017656,Yes,,
Hillhead Halls, Don Street, Old Aberdeen, AB24 1WU,57.1759021,-2.1024668,Yes,Yes,
Justice Street,,, AB11 5HS,57.1488766,-2.0935111,Yes,Yes,
Morrisons, King Street,, AB24 5DA,57.1524937,-2.0975474,Yes,Yes,
Sainsbury's Berryden, Berryden Road,, AB25 3SA,57.1581155,-2.1163201,Yes,Yes,
Sainsbury's Garthdee, Garthdee Road,, AB10 7AY,57.1203653,-2.126884,Yes,Yes,Yes
School Road (at Bayview Court), Seaton,, AB24 1AW,57.1666813,-2.0906264,Yes,Yes,
Seaton Drive, Seaton,, AB24 1XJ,57.1692008,-2.0927609,Yes,Yes,
Seaview Caravan Site, Harehill, Ellon Road, AB23 8BR,57.2140366,-2.0842025,Yes,,
St Ninian's Place (at Lord Hay's Court), Seaton,, AB24 1XU,57.1722619,-2.0938151,Yes,Yes,
St Peter's Terrace car park, Peterculter,, AB14 0UU,57.0963513,-2.2728716,Yes,Yes,
Tesco Danestone, Laurel Drive, Danestone, AB22 8HB,57.1799079,-2.1478519,Yes,Yes,Yes
Tesco Torry, Wellington Road, Torry, AB12 3DN,57.1302414,-2.0959798,Yes,Yes,
Tesco Woodend, Rousay Drive and Lang Stracht,, AB15 6LT,57.1506902,-2.1732942,Yes,Yes,
Thistle Court, corner of Rose Street and Rose Place,, AB10 1ST,57.1456098,-2.1137983,Yes,Yes,
